State/ UT,District/ Area,Total Crimes against Women,Crime_Probability,District_Score,Normalized_Score
Jammu & Kashmir,Budgam,135.0,0.02007136485280999,2152.0,0.021154035191192373
Jammu & Kashmir,Crime Jammu,1.0,0.0001486767766874814,10.0,9.82994200334218e-05
Jammu & Kashmir,Crime Srinagar,0.0,0.0,0.0,0.0
Jammu & Kashmir,Doda,70.0,0.010407374368123699,1110.0,0.01091123562370982
Jammu & Kashmir,Ganderbal,99.0,0.014719000892060661,1487.0,0.014617123758969822
Jammu & Kashmir,Handwara,104.0,0.015462384775498068,1582.0,0.015550968249287329
Jammu & Kashmir,Jammu,492.0,0.07314897413024085,7460.0,0.07333136734493266
Jammu & Kashmir,Kargil,5.0,0.0007433838834374071,72.0,0.000707755824240637
Jammu & Kashmir,Kathua,152.0,0.022598870056497175,2378.0,0.023375602083947705
Jammu & Kashmir,Kishtwar,39.0,0.005798394290811775,636.0,0.0062518431141256265
Jammu & Kashmir,Kulgam,175.0,0.02601843592030925,2592.0,0.02547920967266293
Jammu & Kashmir,Kupwara,147.0,0.021855486173059768,2304.0,0.022648186375700385
Jammu & Kashmir,Leh,7.0,0.0010407374368123698,130.0,0.0012778924604344834
Jammu & Kashmir,Poonch,87.0,0.012934879571810883,1370.0,0.013467020544578786
Jammu & Kashmir,Pulwama,77.0,0.01144811180493607,1196.0,0.011756610635997247
Jammu & Kashmir,Railways Jammu,1.0,0.0001486767766874814,14.0,0.00013761918804679053
Jammu & Kashmir,Railways Kashmir,0.0,0.0,0.0,0.0
Jammu & Kashmir,Railways Katra,0.0,0.0,0.0,0.0
Jammu & Kashmir,Rajouri,208.0,0.030924769550996135,3165.0,0.031111766440578
Jammu & Kashmir,Ramban,74.0,0.011002081474873625,1090.0,0.010714636783642977
Jammu & Kashmir,Reasi,76.0,0.011299435028248588,1213.0,0.011923719650054065
Jammu & Kashmir,Samba,42.0,0.006244424620874219,584.0,0.005740686129951833
Jammu & Kashmir,Shopian,83.0,0.012340172465060957,1298.0,0.01275926472033815
Jammu & Kashmir,Sopore,127.0,0.01888195063931014,1976.0,0.019423965398604148
Jammu & Kashmir,Srinagar,473.0,0.0703241153731787,6586.0,0.0647399980340116
Jammu & Kashmir,Udhampur,87.0,0.012934879571810883,1289.0,0.01267079524230807
Jammu & Kashmir,Total District(s),3363.0,0.5,50865.0,0.5
Jharkhand,Bokaro,494.0,0.037895059834305,6754.0,0.04870626243978423
Jharkhand,Chaibasa,173.0,0.013270942006750537,2572.0,0.01854789857789829
Jharkhand,Chatra,187.0,0.014344891070880638,1716.0,0.012374881010759512
Jharkhand,Deoghar,559.0,0.042881251917766185,4844.0,0.03493235641964981
Jharkhand,Dhanbad,390.0,0.029917152500767107,4842.0,0.034917933481408835
Jharkhand,Dhanbad Railway,16.0,0.00122737035900583,246.0,0.0017740214036403496
Jharkhand,Dumka,202.0,0.015495550782448604,2461.0,0.017747425505523984
Jharkhand,Garhwa,270.0,0.020711874808223382,2604.0,0.018778665589753944
Jharkhand,Giridih,674.0,0.05170297637312059,6883.0,0.04963654195632734
Jharkhand,Godda,212.0,0.016262657256827247,1726.0,0.012446995701964404
Jharkhand,Gumla,160.0,0.0122737035900583,2106.0,0.01518735396775031
Jharkhand,Hazaribagh,421.0,0.032295182571340904,4032.0,0.02907664349381256
Jharkhand,Jamshedpur,568.0,0.04357164774470697,5297.0,0.03819915193123143
Jharkhand,Jamshedpur Railway,3.0,0.00023013194231359313,46.0,0.0003317275795425044
Jharkhand,Jamtara,204.0,0.01564897207732433,1836.0,0.013240257305218219
Jharkhand,Khunti,42.0,0.0032218471923903037,634.0,0.004572071422390169
Jharkhand,Koderma,146.0,0.0111997545259282,1358.0,0.009793175065624368
Jharkhand,Latehar,143.0,0.010969622583614606,1526.0,0.01100470187786656
Jharkhand,Lohardagga,120.0,0.009205277692543725,1449.0,0.010449418755588889
Jharkhand,Pakur,265.0,0.02032832157103406,2915.0,0.021021432486226094
Jharkhand,Palamu,253.0,0.019407793801779687,2268.0,0.016355611965269565
Jharkhand,Ramgarh,232.0,0.017796870205584535,1669.0,0.012035941962096518
Jharkhand,Ranchi,273.0,0.020942006750536975,3530.0,0.025456485995326968
Jharkhand,Sahebganj,266.0,0.020405032218471925,3401.0,0.024526206478783858
Jharkhand,Saraikela,184.0,0.014114759128567045,1766.0,0.012735454466783973
Jharkhand,Simdega,61.0,0.004679349493709727,853.0,0.00615138315977731
Jharkhand,Total District(s),6518.0,0.5,69334.0,0.5
Karnataka,Bagalkot,254.0,0.009996064541519087,3043.0,0.010433810621022603
Karnataka,Bengaluru City,3079.0,0.12117276662731208,30224.0,0.10363177529076147
Karnataka,Bengaluru District,426.0,0.01676505312868949,5320.0,0.01824116743471582
Karnataka,Belagavi District,425.0,0.01672569854388036,5322.0,0.018248025016458197
Karnataka,Ballari,306.0,0.012042502951593861,2956.0,0.010135505815229318
Karnataka,Bidar,305.0,0.012003148366784731,3258.0,0.011171000658327847
Karnataka,Vijayapura,360.0,0.014167650531286895,4539.0,0.015563281764318631
Karnataka,Chikkaballapura,164.0,0.006454151908697363,1730.0,0.005931808207153829
Karnataka,Chamarajnagar,149.0,0.005863833136560409,1870.0,0.006411838929120035
Karnataka,Chikkamagaluru,327.0,0.012868949232585596,4090.0,0.014023754663155585
Karnataka,Chitradurga,435.0,0.017119244391971666,5502.0,0.01886520737327189
Karnataka,Dakshina Kannada,181.0,0.007123179850452578,2368.0,0.008119376782971253
Karnataka,Davanagere,385.0,0.015151515151515152,4564.0,0.01564900153609831
Karnataka,Dharwad,95.0,0.003738685556867375,1274.0,0.004368279569892473
Karnataka,Gadag,85.0,0.0033451397087760726,1072.0,0.0036756638139126617
Karnataka,Kalaburgi,374.0,0.01471861471861472,4239.0,0.014534644502962475
Karnataka,Hassan,372.0,0.014639905548996458,4818.0,0.016519914417379856
Karnataka,Haveri,135.0,0.005312868949232586,1692.0,0.005801514154048716
Karnataka,Hubballi Dharwad City,135.0,0.005312868949232586,1634.0,0.00560264428351986
Karnataka,K.G.F.,42.0,0.001652892561983471,374.0,0.001282367785824007
Karnataka,Kodagu,130.0,0.005116096025186935,1858.0,0.006370693438665789
Karnataka,Kolar,92.0,0.0036206218024399843,1064.0,0.0036482334869431645
Karnataka,Koppal,133.0,0.005234159779614325,1808.0,0.00619925389510643
Karnataka,Mandya,721.0,0.02837465564738292,9087.0,0.031157422646477945
Karnataka,Mangaluru City,180.0,0.0070838252656434475,1870.0,0.006411838929120035
Karnataka,Mysuru City,333.0,0.013105076741440378,2965.0,0.010166364933070002
Karnataka,Mysuru District,311.0,0.012239275875639511,3940.0,0.013509436032477506
Karnataka,Raichur,480.0,0.018890200708382526,5306.0,0.0181931643625192
Karnataka,K.Railways,11.0,0.0004329004329004329,160.0,0.0005486065393899496
Karnataka,Ramanagara,365.0,0.014364423455332545,4604.0,0.015786153170945796
Karnataka,Shimoga,681.0,0.02680047225501771,8892.0,0.030488808426596445
Karnataka,Tumakuru,283.0,0.011137347500983864,2948.0,0.01010807548825982
Karnataka,Udupi,230.0,0.00905155450609996,2734.0,0.009374314241825762
Karnataka,Uttara Kannada,280.0,0.011019283746556474,3554.0,0.012185922756199254
Karnataka,Yadgiri,240.0,0.009445100354191263,2967.0,0.010173222514812376
Karnataka,Belagavi City,201.0,0.007910271546635183,2178.0,0.007467906517445688
Karnataka,Total District(s),12705.0,0.5,145824.0,0.5
Kerala,Alapuzha,445.0,0.02291924186238154,5819.0,0.023107041313912672
Kerala,Ernakulam Commr.,404.0,0.02080758137618459,4584.0,0.018202900392331273
Kerala,Ernakulam Rural,454.0,0.02338277709105892,5992.0,0.023794018139364964
Kerala,Idukki,405.0,0.020859085290482075,5720.0,0.022713915847324365
Kerala,Kannur,546.0,0.02812113720642769,6950.0,0.027598201947360897
Kerala,Kasargod,354.0,0.01823238566131026,4768.0,0.018933557825182266
